number,value,datetime_start,datetime_complete,duration,params_dt_criterion,params_dt_max_depth,params_dt_min_samples_leaf,params_dt_min_samples_split,params_dt_splitter,params_feature_selector,params_hgb_learning_rate,params_hgb_max_bins,params_hgb_max_depth,params_hgb_max_iter,params_lasso_alpha,params_lgb_feature_fraction,params_lgb_learning_rate,params_lgb_max_depth,params_lgb_n_estimators,params_lgb_num_leaves,params_model,params_rf_bootstrap,params_rf_criterion,params_rf_max_depth,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_scaler,params_xgb_alpha,params_xgb_booster,params_xgb_lambda,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_n_estimators,user_attrs_MAE,user_attrs_MSE,user_attrs_R2,user_attrs_error,state
24,,2025-05-04 05:13:20.494705,2025-05-04 05:13:20.635054,0 days 00:00:00.140349,mse,16.0,5.0,3.0,random,none,,,,,,,,,,,DecisionTree,,,,,,,maxabs,,,,,,,,,,"The 'criterion' parameter of DecisionTreeRegressor must be a str among {'friedman_mse', 'absolute_error', 'poisson', 'squared_error'}. Got 'mse' instead.",PRUNED
25,,2025-05-04 05:13:20.498951,2025-05-04 05:13:20.644799,0 days 00:00:00.145848,mae,4.0,8.0,5.0,best,lasso,,,,,0.002230007509111547,,,,,,DecisionTree,,,,,,,standard,,,,,,,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
26,,2025-05-04 05:13:20.501976,2025-05-04 05:13:20.633665,0 days 00:00:00.131689,,,,,,lasso,,,,,0.4478887776986123,,,,,,XGBoost,,,,,,,maxabs,0.42790780492524094,gblinear,0.13936610654578707,0.017647302381639758,18.0,81.0,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
27,20.00594793350172,2025-05-04 05:13:20.503023,2025-05-04 05:13:29.915213,0 days 00:00:09.412190,,,,,,none,,,,,,0.6010416705123631,0.2567814175346576,14.0,96.0,270.0,LightGBM,,,,,,,robust,,,,,,,7.8002176031669395,400.2379527179818,0.8133981392551447,,COMPLETE
28,,2025-05-04 05:13:20.504935,2025-05-04 05:13:20.822008,0 days 00:00:00.317073,,,,,,lasso,,,,,0.17535567343514852,0.7440240113513854,0.10629360975264594,4.0,388.0,205.0,LightGBM,,,,,,,robust,,,,,,,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
29,,2025-05-04 05:13:20.505726,2025-05-04 05:13:20.639573,0 days 00:00:00.133847,mae,26.0,26.0,2.0,best,lasso,,,,,0.00040172758916799764,,,,,,DecisionTree,,,,,,,standard,,,,,,,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
30,,2025-05-04 05:13:20.507429,2025-05-04 05:13:20.632443,0 days 00:00:00.125014,mae,5.0,10.0,8.0,random,none,,,,,,,,,,,DecisionTree,,,,,,,maxabs,,,,,,,,,,"The 'criterion' parameter of DecisionTreeRegressor must be a str among {'friedman_mse', 'absolute_error', 'poisson', 'squared_error'}. Got 'mae' instead.",PRUNED
31,,2025-05-04 05:13:20.509962,2025-05-04 05:13:20.626312,0 days 00:00:00.116350,,,,,,none,,,,,,,,,,,RandomForest,True,mse,14.0,18.0,10.0,73.0,maxabs,,,,,,,,,,"The 'criterion' parameter of RandomForestRegressor must be a str among {'friedman_mse', 'absolute_error', 'poisson', 'squared_error'}. Got 'mse' instead.",PRUNED
32,20.621432950375212,2025-05-04 05:13:20.514705,2025-05-04 05:13:39.531773,0 days 00:00:19.017068,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,robust,0.7917903511855309,dart,0.10112004184324841,0.7174420574793701,10.0,147.0,7.766409753187891,425.2434969268205,0.8017398715019226,,COMPLETE
33,20.689809332403918,2025-05-04 05:13:20.517711,2025-05-04 05:14:37.814001,0 days 00:01:17.296290,,,,,,none,0.015995986217408834,175.0,20.0,639.0,,,,,,,HistGradientBosting,,,,,,,robust,,,,,,,7.611726754633647,428.06821021122823,0.8004229133976721,,COMPLETE
34,21.844372775020336,2025-05-04 05:13:20.519335,2025-05-04 05:13:32.767054,0 days 00:00:12.247719,,,,,,none,0.11752359293388795,183.0,6.0,839.0,,,,,,,HistGradientBosting,,,,,,,standard,,,,,,,7.939404180308672,477.1766219340497,0.7775272311079919,,COMPLETE
35,,2025-05-04 05:13:20.574664,2025-05-04 05:13:20.690987,0 days 00:00:00.116323,mae,23.0,19.0,10.0,best,lasso,,,,,0.01885359654888432,,,,,,DecisionTree,,,,,,,maxabs,,,,,,,,,,"Input X contains NaN.
Lasso does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",PRUNED
36,20.198372065725863,2025-05-04 05:13:20.579050,2025-05-04 05:13:43.379109,0 days 00:00:22.800059,,,,,,none,0.10042169419084156,194.0,23.0,996.0,,,,,,,HistGradientBosting,,,,,,,standard,,,,,,,7.498583390686562,407.9742341054949,0.8097912736584357,,COMPLETE
37,25.618791443171823,2025-05-04 05:13:20.612437,2025-05-04 05:13:50.475981,0 days 00:00:29.863544,,,,,,none,0.010849363353760876,139.0,10.0,172.0,,,,,,,HistGradientBosting,,,,,,,robust,,,,,,,9.732387686519562,656.3224750087338,0.6940045434132159,,COMPLETE
38,25.14424570269282,2025-05-04 05:13:20.630546,2025-05-04 05:13:30.113511,0 days 00:00:09.482965,,,,,,none,,,,,,0.9570817479685871,0.9402630587843008,15.0,73.0,298.0,LightGBM,,,,,,,robust,,,,,,,9.807606370403828,632.2330919573865,0.7052356714735386,,COMPLETE
39,23.82903822011151,2025-05-04 05:13:20.641945,2025-05-04 05:13:29.256429,0 days 00:00:08.614484,,,,,,none,,,,,,0.9739700416058313,0.8675431746735858,15.0,79.0,273.0,LightGBM,,,,,,,robust,,,,,,,9.266884728536576,567.823062495535,0.7352653857137604,,COMPLETE
40,26.06749251113526,2025-05-04 05:13:20.654916,2025-05-04 05:13:30.590996,0 days 00:00:09.936080,,,,,,none,,,,,,0.9834750938115999,0.9511523260118636,15.0,95.0,292.0,LightGBM,,,,,,,robust,,,,,,,9.91409024014354,679.5141658180928,0.6831919439846579,,COMPLETE
41,26.28597622841838,2025-05-04 05:13:20.662790,2025-05-04 05:13:30.364263,0 days 00:00:09.701473,,,,,,none,,,,,,0.9405947098638553,0.9892030719310444,15.0,84.0,268.0,LightGBM,,,,,,,robust,,,,,,,10.404987662248901,690.9525462809762,0.677859058725309,,COMPLETE
42,29.037269879562853,2025-05-04 05:13:20.672445,2025-05-04 05:13:42.139599,0 days 00:00:21.467154,,,,,,none,,,,,,0.9279263109934389,0.011969522728959903,15.0,85.0,299.0,LightGBM,,,,,,,robust,,,,,,,12.160436242996655,843.1630420585681,0.6068943699842368,,COMPLETE
43,23.63957085355215,2025-05-04 05:13:20.703553,2025-05-04 05:13:26.088347,0 days 00:00:05.384794,,,,,,none,,,,,,0.9698277201642788,0.8762605517380498,13.0,66.0,271.0,LightGBM,,,,,,,robust,,,,,,,9.086647414417506,558.8293101401124,0.7394585186068392,,COMPLETE
44,22.89464172032165,2025-05-04 05:13:20.727111,2025-05-04 05:13:28.904773,0 days 00:00:08.177662,,,,,,none,,,,,,0.9787280094599066,0.6950745598426366,15.0,89.0,283.0,LightGBM,,,,,,,robust,,,,,,,8.693463051268814,524.1646195018927,0.7556201437883333,,COMPLETE
45,22.608384284330512,2025-05-04 05:13:20.735703,2025-05-04 05:14:05.984317,0 days 00:00:45.248614,,,,,,none,0.012652894735105058,132.0,8.0,317.0,,,,,,,HistGradientBosting,,,,,,,robust,,,,,,,8.241724616956727,511.13903994796294,0.7616930245972058,,COMPLETE
46,24.12000659831892,2025-05-04 05:13:20.752746,2025-05-04 05:14:04.227597,0 days 00:00:43.474851,,,,,,none,0.010203866715467592,139.0,10.0,287.0,,,,,,,HistGradientBosting,,,,,,,robust,,,,,,,8.6979274705508,581.7747183029483,0.728760742872032,,COMPLETE
47,23.567123978119394,2025-05-04 05:13:20.773067,2025-05-04 05:14:04.850351,0 days 00:00:44.077284,,,,,,none,0.011599434863463702,133.0,9.0,300.0,,,,,,,HistGradientBosting,,,,,,,robust,,,,,,,8.465053790919583,555.4093326000501,0.741053005507313,,COMPLETE
48,23.101902607895045,2025-05-04 05:13:20.785886,2025-05-04 05:14:04.759357,0 days 00:00:43.973471,,,,,,none,0.012057377019685765,135.0,8.0,301.0,,,,,,,HistGradientBosting,,,,,,,robust,,,,,,,8.352598640064286,533.6979041046679,0.751175466231376,,COMPLETE
49,23.791215841885556,2025-05-04 05:13:20.793283,2025-05-04 05:14:05.197169,0 days 00:00:44.403886,,,,,,none,0.010082102853575966,154.0,8.0,301.0,,,,,,,HistGradientBosting,,,,,,,robust,,,,,,,8.623870143584758,566.0219512351863,0.7361051129567848,,COMPLETE
50,23.5892428250226,2025-05-04 05:13:20.854627,2025-05-04 05:14:05.365448,0 days 00:00:44.510821,,,,,,none,0.011442817797137567,134.0,8.0,304.0,,,,,,,HistGradientBosting,,,,,,,robust,,,,,,,8.47658519323645,556.4523770578801,0.7405667097041566,,COMPLETE
51,24.224012991206205,2025-05-04 05:13:20.877106,2025-05-04 05:14:03.132578,0 days 00:00:42.255472,,,,,,none,0.01007614335858282,139.0,8.0,281.0,,,,,,,HistGradientBosting,,,,,,,robust,,,,,,,8.709978767589348,586.802805398127,0.7264165113927933,,COMPLETE
52,23.898659688126706,2025-05-04 05:13:20.905845,2025-05-04 05:14:03.545661,0 days 00:00:42.639816,,,,,,none,0.011277126169317106,139.0,8.0,289.0,,,,,,,HistGradientBosting,,,,,,,robust,,,,,,,8.515933399930928,571.1459348888925,0.7337161718838189,,COMPLETE
53,,2025-05-04 05:13:20.925446,2025-05-04 05:13:21.483367,0 days 00:00:00.557921,,,,,,none,,,,,,,,,,,RandomForest,False,mae,6.0,1.0,2.0,259.0,robust,,,,,,,,,,"The 'criterion' parameter of RandomForestRegressor must be a str among {'friedman_mse', 'absolute_error', 'poisson', 'squared_error'}. Got 'mae' instead.",PRUNED
54,,2025-05-04 05:13:20.938818,2025-05-04 05:13:21.494149,0 days 00:00:00.555331,,,,,,none,,,,,,,,,,,RandomForest,False,mae,7.0,4.0,2.0,266.0,robust,,,,,,,,,,"The 'criterion' parameter of RandomForestRegressor must be a str among {'friedman_mse', 'absolute_error', 'poisson', 'squared_error'}. Got 'mae' instead.",PRUNED
55,,2025-05-04 05:13:20.955122,2025-05-04 05:13:21.492366,0 days 00:00:00.537244,,,,,,none,,,,,,,,,,,RandomForest,False,mae,7.0,1.0,2.0,262.0,robust,,,,,,,,,,"The 'criterion' parameter of RandomForestRegressor must be a str among {'friedman_mse', 'absolute_error', 'poisson', 'squared_error'}. Got 'mae' instead.",PRUNED
56,,2025-05-04 05:13:20.959964,2025-05-04 05:13:21.489995,0 days 00:00:00.530031,,,,,,none,,,,,,,,,,,RandomForest,False,mae,7.0,1.0,2.0,260.0,robust,,,,,,,,,,"The 'criterion' parameter of RandomForestRegressor must be a str among {'friedman_mse', 'absolute_error', 'poisson', 'squared_error'}. Got 'mae' instead.",PRUNED
57,,2025-05-04 05:13:21.036710,2025-05-04 05:13:21.485546,0 days 00:00:00.448836,,,,,,none,,,,,,,,,,,RandomForest,False,mae,7.0,2.0,2.0,262.0,robust,,,,,,,,,,"The 'criterion' parameter of RandomForestRegressor must be a str among {'friedman_mse', 'absolute_error', 'poisson', 'squared_error'}. Got 'mae' instead.",PRUNED
58,22.567507061485383,2025-05-04 05:13:21.235461,2025-05-04 05:13:22.579917,0 days 00:00:01.344456,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.012247709929376294,dart,0.6880518155993521,0.08407884950881454,10.0,25.0,8.409874279081999,509.2923749701926,0.7625539898872375,,COMPLETE
59,23.335572429334533,2025-05-04 05:13:21.497713,2025-05-04 05:13:22.451587,0 days 00:00:00.953874,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.030714975752073936,dart,0.6785100198529612,0.08592021611850478,8.0,21.0,8.936450875042759,544.548940604718,0.7461163997650146,,COMPLETE
60,22.655773539839252,2025-05-04 05:13:21.506535,2025-05-04 05:13:22.822928,0 days 00:00:01.316393,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.07707111338007344,dart,0.633169407900902,0.0846552870776972,10.0,24.0,8.52816188542432,513.2840746884804,0.7606929540634155,,COMPLETE
61,22.57881079577457,2025-05-04 05:13:21.514047,2025-05-04 05:13:22.810886,0 days 00:00:01.296839,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.05034597060810453,dart,0.6653771518362642,0.08904307929582338,10.0,24.0,8.356722058203705,509.8026969513862,0.762316107749939,,COMPLETE
62,21.923422542852613,2025-05-04 05:13:21.521356,2025-05-04 05:13:23.215068,0 days 00:00:01.693712,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.0433108058068683,dart,0.6557669943748108,0.08141194772520252,10.0,30.0,8.04310284929223,480.6364559924582,0.775914192199707,,COMPLETE
63,22.539759645043844,2025-05-04 05:13:21.530752,2025-05-04 05:13:22.955499,0 days 00:00:01.424747,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.03875004929870385,dart,0.7514205964964072,0.07923237466237598,10.0,26.0,8.446812668476808,508.0407648563469,0.7631375193595886,,COMPLETE
64,32.138328112893454,2025-05-04 05:13:21.754983,2025-05-04 05:13:22.352679,0 days 00:00:00.597696,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.04877511548756597,gblinear,0.8056283226311809,0.12839292575148173,9.0,187.0,11.152564977217988,1032.8721338919977,0.5184468030929565,,COMPLETE
65,32.14061759036242,2025-05-04 05:13:22.360858,2025-05-04 05:13:23.236192,0 days 00:00:00.875334,,,,,,none,,,,,,,,,,,XGBoost,,,,,,,maxabs,0.05015569955627919,gblinear,0.8186602304689264,0.12165250623719531,9.0,200.0,11.157715183573474,1033.019299089914,0.5183781981468201,,COMPLETE
